,MMS ID,Barcode,title,Author,Call Number,Permanent Location,Material Type,Process type,Description,Orders,Requests,Modification Date,Due Date
0,9922033313606241,33082012289335,Red Sister,Lawrence Mark,F,Recreational Reading,Book,Lost,,,,08-Nov-20,16-Sep
1,9917370583606241,33082011802245,"Ways of making and knowing : the material culture of empirical knowledge / edited by Pamela H. Smith, Amy R. W. Meyers, and Harold J. Cook.",Smith Pamela H,AZ101 .W39 2014,Books,Book,Lost,,,,08-Nov-20,16-Sep
2,9926511723606241,33082012599170,Guide to programming for the digital humanities : lessons for introductory Python / Brian Kokensparger.,Kokensparger Brian,AZ105 .K65 2018,Books,Book,Lost,,,,07-Dec-20,12-Nov
3,998992313606241,33082010138906,The meaning of the body : aesthetics of human understanding / Mark Johnson.,Johnson Mark,B105.M4 J65 2007,Books,Book,Lost,,,,03-Jan-21,14-Dec
4,9913214683606241,33082011103818,Yoga in practice / edited by David Gordon White.,White David Gordon,B132.Y6 Y534 2011,Books,Book,Lost,,,,03-Jan-21,14-Dec
5,998483803606241,33082009480889,A life worth living : contributions to positive psychology / edited by Mihaly Csikszentmihalyi and Isabella Selega Csikszentmihalyi.,Csikszentmihalyi Mihaly,BF204.6 .L54 2006,Books,Book,Lost,,,,08-Nov-20,16-Sep
6,998635113606241,33082009900084,"Oxford handbook of methods in positive psychology / edited by Anthony D. Ong, Manfred H.M. van Dulmen.",Ong Anthony D,BF204.6 .O94 2007,Books,Book,Lost,,,,08-Nov-20,16-Sep
7,9921174443606241,33082012324017,A primer in positive psychology / Christopher Peterson.,Peterson Christopher,BF204.6 .P48 2006,Books,Book,Lost,,,,08-Nov-20,16-Sep
8,998668883606241,33082009917005,A field guide to getting lost / Rebecca Solnit.,Solnit Rebecca,BF575.D35 S65 2006,Books,Book,Lost,,,,03-Jan-21,14-Dec
9,99716933606241,33082007265324,Intimacy / edited by Lauren Berlant.,erlant Lauren Gail,BF575.I5 I57 2000,Books,Book,Lost,,,,22-Nov-20,01-Oct
10,9921295263606241,33082012405667,Red : The History of a Color / Michel Pastoureau ; translated by Jody Gladding.,Pastoureau Michel,BF789.C7 P39813 2016,Books,Book,Lost,,,,03-Jan-21,14-Dec
11,996731393606241,33082008078882,"Biblical and pagan societies : witchcraft and magic in Europe / Frederick H. Cryer, Marie-Louise Thomsen ; edited by Bengt Ankarloo and Stuart Clark.",Cryer Frederick H,BF1567 .C79 2001,Books,Book,Lost,,,,21-Dec-20,07-Sep
12,997594503606241,33082008681917,Beauty : the invisible embrace / John O'Donohue.,O'Donohue John,BH301.P78 O36 2004,Books,Book,Lost,,,,08-Nov-20,16-Sep
13,9926950763606241,33082012602453,"Ethics in a crowded world : globalisation, human movement and professional ethics / edited by Vandra Harris, RMIT University, Australia.",Harris Vandra,BJ1012 .E89447 2019,Books,Book,Lost,,,,22-Nov-20,01-Oct
14,9911688343606241,33082010887080,Freedom and belief / Galen Strawson.,Strawson Galen,BJ1461 .S77 2010,Books,Book,Lost,,,,13-Dec-20,23-Nov
15,9921084893606241,33082011100723,Refiguring the body : embodiment in South Asian religions / edited by Barbara A. Holdrege and Karen Pechilis.,Holdrege Barbara A,BL65.B63 R44 2016,Books,Book,Lost,,,,03-Jan-21,14-Dec
16,993076723606241,33082001332807,"Adonis, Attis, Osiris; studies in the history of Oriental religion.",Frazer James George,BL310 .F75 1962,Books,Book,Lost,,,,22-Nov-20,01-Oct
17,99249903606241,33082007112609,"Daughters of the goddess : studies of healing, identity, and empowerment / Wendy Griffin, editor.",Griffin Wendy,BL625.7 .D37 2000,Books,Book,Lost,,,,03-Jan-21,14-Dec
18,998722703606241,33082009925651,Encompassing a fractal world : the energetic female core in myth and everyday life--a few lessons drawn from the Nepalese Himalaya / Gil Daryn.,Daryn Gil,BL1156.8.T53 D37 2006,Books,Book,Lost,,,,03-Jan-21,14-Dec
19,9915591963606241,33082011680088,When the world becomes female : guises of a South Indian goddess / Joyce Burkhalter Flueckiger.,Flueckiger Joyce Burkhalter,BL1225.G362 F58 2013,Books,Book,Lost,,,,03-Jan-21,14-Dec
20,998155193606241,33082009006148,Bringing the gods to mind : mantra and ritual in early Indian sacrifice / Laurie L. Patton.,Patton Laurie L,BL1226.2 .P44 2005,Books,Book,Lost,,,,03-Jan-21,14-Dec
21,992374573606241,33082007425522,"Tantra in practice / David Gordon White, editor.",White David Gordon,BL1283.84 .T36 2000,Books,Book,Lost,,,,03-Jan-21,14-Dec
22,994652033606241,33082006634678,Living Zen. Pref. by Christmas Humphreys. Foreword by R. Godel. Translated by Diana Abrahams-Curiel.,Linssen Robert,BL1442.Z4 L53 1960,Books,Book,Lost,,,,08-Nov-20,16-Sep
23,995132573606241,33082006869928,The cult of Pure Crystal Mountain : popular pilgrimage and visionary landscape in southeast Tibet / Toni Huber.,Huber Toni,BL1945.T5 H83 1999,Books,Book,Lost,,,,03-Jan-21,14-Dec
24,999758973606241,33082010086600,The origins of yoga and tantra : Indic religions to the thirteenth century / Geoffrey Samuel.,Samuel Geoffrey,BL2005 .S26 2008,Books,Book,Lost,,,,03-Jan-21,14-Dec
25,9910187033606241,33082010351467,"The iconic female : goddesses of India, Nepal and Tibet / edited by Jayant Bhalchandra Bapat and Ian Mabbett.",apat Jayant Bhalchandra  : Monash University Press c,BL2015.G6 I26 2008,Books,Book,Lost,,,,03-Jan-21,14-Dec
26,998748443606241,33082009935593,Retheorizing religion in Nepal / Gregory Price Grieve.,Grieve Gregory P,BL2034.3.B53 G75 2006,Books,Book,Lost,,,,03-Jan-21,14-Dec
